nombre,cuenta,username,followers,engagementRate
Mauro Caiazza,https://www.instagram.com/maurocaiazza,maurocaiazza,"874,530",7.10%
connie ansaldi,https://www.instagram.com/connieansaldi,connieansaldi,"873,141",1%
Brian sarmiento 22,https://www.instagram.com/brian_sarmiento22,brian_sarmiento22,"870,582",3.30%
Noelia Marzol,https://www.instagram.com/noeliamarzolok,noeliamarzolok,"869,181",2.20%
Yus Lopez,https://www.instagram.com/yuslopez,yuslopez,"865,593",5.40%
Gonzalo Heredia.,https://www.instagram.com/gonzaloezequielheredia,gonzaloezequielheredia,"860,729",3%
Lucas Spadafora,https://www.instagram.com/lucasspadafora,lucasspadafora,"852,352",11.30%
Catherine Fulop,https://www.instagram.com/fulopcatherine,fulopcatherine,"848,251",1.80%
Silvina Escudero,https://www.instagram.com/escuderosilvina,escuderosilvina,"837,115",1.20%
Karina La Princesita 😂,https://www.instagram.com/kariprinceoficial,kariprinceoficial,"829,686",2.10%
Martin Perez Disalvo,https://www.instagram.com/martinpdisalvo,martinpdisalvo,"826,950",17.20%
Nahitan Nandez,https://www.instagram.com/nahitannandez25,nahitannandez25,"825,007",17.60%
macarena rinaldi,https://www.instagram.com/macarinaldiok,macarinaldiok,"821,461",1%
Paula Amoedo,https://www.instagram.com/paula.amoedo,paula.amoedo,"817,231",2.50%
ROMINA MALASPINA 🎀🦄🍭🌸,https://www.instagram.com/romimalaspina,romimalaspina,"812,552",5.90%
Mati Napp,https://www.instagram.com/matiasnapp,matiasnapp,"810,988",1.70%
Fabian Cubero,https://www.instagram.com/fabiancuberooficial,fabiancuberooficial,"808,883",0.80%
Ximena Capristo,https://www.instagram.com/ximecapristo,ximecapristo,"803,803",1.10%
Stephanie Demner,https://www.instagram.com/stephaniedemner,stephaniedemner,"801,209",5.40%
FLOR MOYANO,https://www.instagram.com/moyanoflor,moyanoflor,"795,898",1.80%
Victoria Jesus Xipolitakis,https://www.instagram.com/victoriaxipolitakisok,victoriaxipolitakisok,"791,924",3.20%
Minerva,https://www.instagram.com/minerva.casero,minerva.casero,"791,525",3.40%
Mike Chouhy,https://www.instagram.com/mikechouhy,mikechouhy,"783,649",5.70%
Juan Minujin,https://www.instagram.com/juanminujin,juanminujin,"781,341",1.20%
Goofy Gonzalez,https://www.instagram.com/goofygonzalez1,goofygonzalez1,"778,399",7.60%
Cris Morena,https://www.instagram.com/bycrismorena,bycrismorena,"778,261",1.40%
R O C I O  R O B L E S,https://www.instagram.com/rocioroblesok,rocioroblesok,"776,429",1%
Nico Riera,https://www.instagram.com/nico__riera,nico__riera,"776,197",1.80%
Mati Kranevitter,https://www.instagram.com/mkranevitter5,mkranevitter5,"771,425",3.80%
Natalia 👸🏽💚,https://www.instagram.com/natidellaschiava,natidellaschiava,"767,983",3.10%
